id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;address
10061;616 400 zł;31,45 m²;1;1/5;;;;2010;do zamieszkania;ul. Górczewska, Ulrychów, Wola, Warszawa, mazowieckie
10062;3 950 000 zł;158 m²;4;4/5;;balkon, taras;garaż/miejsce parkingowe;2005;;Kabaty, Ursynów, Warszawa, mazowieckie
10063;1 729 847 zł;57,47 m²;2;1/3;;balkon;garaż/miejsce parkingowe;2025;do zamieszkania;ul. Władysława Orkana, Ksawerów, Mokotów, Warszawa, mazowieckie
10064;860 000 zł;48,5 m²;3;2/3;;;;1961;;Ulrychów, Wola, Warszawa, mazowieckie
10065;2 700 000 zł;138,6 m²;4;7/17;1 900 zł;balkon, ogródek;;2000;do zamieszkania;ul. Bukowińska, Ksawerów, Mokotów, Warszawa, mazowieckie
10066;673 000 zł;59 m²;3;parter/10;1 020 zł;balkon;;1970;do zamieszkania;al. Aleja Prymasa Tysiąclecia, Szmulowizna, Praga-Północ, Warszawa, mazowieckie
10067;1 199 000 zł;65 m²;2;3/6;1 400 zł;balkon, ogródek;garaż/miejsce parkingowe;2010;do zamieszkania;Sielce, Mokotów, Warszawa, mazowieckie
10068;1 100 000 zł;42,55 m²;2;2/2;;balkon;garaż/miejsce parkingowe;2022;;Dzikich Jabłoni, Stegny, Mokotów, Warszawa, mazowieckie
10069;1 456 350 zł;73 m²;3;1/8;1 100 zł;;garaż/miejsce parkingowe;2009;do zamieszkania;Ksawerów, Mokotów, Warszawa, mazowieckie
10071;336 900 zł;22,46 m²;1;parter/2;;;garaż/miejsce parkingowe;2023;do zamieszkania;Stare Włochy, Włochy, Warszawa, mazowieckie
10072;667 000 zł;39,43 m²;2;1/3;;balkon;;1963;do zamieszkania;ul. Brazylijska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie
10073;1 680 000 zł;110 m²;4;2/2;1 200 zł;balkon;garaż/miejsce parkingowe;1994;;ul. Pachnąca, Natolin, Ursynów, Warszawa, mazowieckie
10074;1 080 000 zł;49 m²;2;3/4;;balkon;garaż/miejsce parkingowe;2023;;ul. gen. Sylwestra Kaliskiego, Fort Radiowo, Bemowo, Warszawa, mazowieckie
10075;570 000 zł;28,58 m²;1;7/7;;balkon;garaż/miejsce parkingowe;brak informacji;;ul. Narwik, Górce, Bemowo, Warszawa, mazowieckie
10076;1 149 000 zł;116,7 m²;4;parter/2;;balkon, ogródek, taras;;2024;do wykończenia;ul. Owoców Leśnych, Brzeziny, Białołęka, Warszawa, mazowieckie
10077;1 500 000 zł;50,79 m²;3;3/5;950 zł;;;1932;do zamieszkania;ul. Juliusza Słowackiego, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie
10078;995 000 zł;50,63 m²;2;2/6;;balkon, ogródek;;2012;do zamieszkania;ul. Józefa Sowińskiego, Ulrychów, Wola, Warszawa, mazowieckie
10079;549 000 zł;31,2 m²;1;5/10;;;;1974;;ul. Kaspijska, Stegny, Mokotów, Warszawa, mazowieckie
10080;Zapytaj o cenę;60,85 m²;3;2/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ, Warszawa, mazowieckie
10081;850 000 zł;63,4 m²;3;3/3;579 zł;;garaż/miejsce parkingowe;2011;do zamieszkania;ul. Magiczna, Grodzisk, Białołęka, Warszawa, mazowieckie
10082;882 000 zł;70,66 m²;4;3/3;;balkon;garaż/miejsce parkingowe;2025;do wykończenia;ul. Myśliborska, Nowodwory, Białołęka, Warszawa, mazowieckie
10083;849 000 zł;51 m²;3;10/10;890 zł;;garaż/miejsce parkingowe;1975;do wykończenia;ul. Skierniewicka 13, Czyste, Wola, Warszawa, mazowieckie
10084;Zapytaj o cenę;42,93 m²;2;5/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie
10085;999 000 zł;55 m²;2;2/2;775 zł;;;1956;do zamieszkania;Wierzbno, Mokotów, Warszawa, mazowieckie
10086;1 300 000 zł;74 m²;3;3/6;;balkon;;2002;do zamieszkania;ul. Jaszowiecka, Sadyba, Mokotów, Warszawa, mazowieckie
10087;893 000 zł;38 m²;2;5/7;;balkon;;2019;do zamieszkania;ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie
10088;Zapytaj o cenę;47,77 m²;2;3/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Rawska, Skorosze, Ursus, Warszawa, mazowieckie
